ISO Country Code,ISO Currency Code,Rate,
AUS,AUD,1.332286,
AUT,EUR,0.845662,
BEL,EUR,0.845662,
CHN,CNY,6.451678,
DNK,DKK,6.290085,
EGY,EGP,15.696948,
FIN,EUR,0.845662,
FRA,EUR,0.845662,
DEU,EUR,0.845662,
GRC,EUR,0.845662,
HKG,HKD,7.772785,
HUN,HUF,303.291864,
IND,INR,73.936211,
IDN,IDR,14310.21773,
IRL,EUR,0.845662,
ITA,EUR,0.845662,
JPN,JPY,109.816885,
MYS,MYR,4.144594,
MEX,MXN,20.284105,
NLD,EUR,0.845662,
NZL,NZD,1.415139,
NOR,NOK,8.598249,
PHL,PHP,49.281886,
POL,PLN,3.862399,
SGP,SGD,1.343855,
ZAF,ZAR,14.789474,
ESP,EUR,0.845662,
SWE,SEK,8.58396,
CHE,EUR,0.845662,
TWN,TWD,27.931625,
THA,THB,31.996893,
GBR,GBP,0.727434,
